,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,245.69492785949677,2,74.72431853795742,-60,0,1,188.42476734912657,-19,-2653.460813902682,55.7243185379574,111.81412992831542,0.0,-6230.736246429198,1600,244.69492785949677,2,28844.44991817377,170.97060932153937,1,17199.64329774686
u2,521.9999999999997,3,0,0,0,144,24285.82927289821,0,0,0,111.81412992831542,0.0,0,7300,377.99999999999966,2,54865.59999999993,521.9999999999997,3,94283.7999999999
u3,399.9999999999997,2,0,0,0,81,11703.848625056293,0,0,0,111.81412992831542,0.0,0,1600,318.9999999999997,2,43348.799999999945,399.9999999999997,2,59159.99999999994
u4,99.59085648325814,1,311.9731742806944,-284,212.3823177974363,0,0,-142,-24146.02385592155,169.9731742806944,111.81412992831542,-23747.344076679317,-19055.087329693888,910,99.59085648325814,1,10018.840162215767,0,1,0.0
u5,212.99999999999974,2,0,0,0,14,2126.0274496406482,0,0,0,111.81412992831542,0.0,0,1600,198.99999999999974,1,20019.399999999972,212.99999999999974,2,22657.59999999995
u6,84.0,1,0,0,0,0,0,0,0,0,111.81412992831542,0.0,0,910,84.0,1,8450.4,84.0,1,8450.4
u7,175.73826599619724,1,100.76765667465854,-81,0,0,0,-27,-3975.9867540048654,73.76765667465853,111.81412992831542,0.0,-8226.765409116246,910,175.73826599619724,1,17679.269559217442,74.9706093215387,1,7542.043297746793
u8,269.1629405690061,2,176.54525836644171,-162,0,0,0,-62,-9415.136488330341,114.5452583664417,111.81412992831542,0.0,-12778.079977493386,1600,269.1629405690061,2,33620.60599906999,92.61768220256437,1,9317.338829577975
u9,219.99999999999991,2,0,0,0,20,2905.17597346951,0,0,0,111.81412992831542,0.0,0,1600,199.99999999999991,1,20119.99999999999,219.99999999999991,2,24023.99999999998
u10,293.3077168410267,2,60.337107519487965,-47,0,1,164.60888832645554,-11,-1580.8822211544334,49.33710751948795,111.81412992831542,0.0,-5523.500250072195,1600,292.3077168410267,2,38138.46632736841,232.97060932153875,2,26555.862939564362
