,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,39.60911633972619,1,206.0679129704717,-173,166.4587966307455,0,0,-106,-13954.944001828777,100.06791297047161,80.94360555555555,-13473.775175731502,-8167.505704382633,910,39.60911633972619,1,3984.6771037764547,0,1,0.0
u2,253.99999999999972,2,0,0,0,111,12607.927116302028,0,0,0,80.94360555555555,0.0,0,1600,142.99999999999972,1,14385.79999999997,253.99999999999972,2,30660.799999999945
u3,231.99999999999997,2,0,0,0,86,9570.999547620126,0,0,0,80.94360555555555,0.0,0,1600,145.99999999999997,1,14687.599999999997,231.99999999999997,2,26366.399999999994
u4,42.952501250288456,1,383.3838289681975,-357,340.4313277179091,0,0,-229,-30488.41104520964,154.38382896819766,80.94360555555555,-27555.739109552498,-12594.782983672609,910,42.952501250288456,1,4321.021625779019,0,1,0.0
u5,534.9999999999992,3,0,0,0,278,38211.631426398075,0,0,0,80.94360555555555,0.0,0,7300,256.9999999999992,2,31246.39999999984,534.9999999999992,3,98026.49999999977
u6,498.00000000000085,3,0,0,0,252,33758.77123499791,0,0,0,80.94360555555555,0.0,0,7300,246.00000000000085,2,29099.200000000164,498.00000000000085,3,87374.20000000024
u7,93.82842179614458,1,120.28721842688996,-93,26.458796630745383,0,0,-56,-6676.477541752079,64.28721842688996,80.94360555555555,-2141.6703979537165,-5290.591284466907,910,93.82842179614458,1,9439.139232692145,0,1,0.0
u8,34.959511622631084,1,394.39083934054025,-364,359.4313277179092,0,0,-223,-30289.82577742019,171.39083934054017,80.94360555555555,-29093.66761510806,-13973.7382382751,910,34.959511622631084,1,3516.926869236687,0,1,0.0
u9,69.9999999999999,1,0,0,0,1,95.58014429845471,0,0,0,80.94360555555555,0.0,0,910,68.9999999999999,1,6941.39999999999,69.9999999999999,1,7041.99999999999
u10,35.52049252412683,1,210.97928915487222,-182,175.45879663074538,0,0,-114,-15138.724144068558,96.97928915487225,80.94360555555555,-14202.267625731492,-7932.060062139278,910,35.52049252412683,1,3573.361547927159,0,1,0.0
