,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,174.3372929579341,1,95.36668363639566,-79,0,0,0,-27,-3842.6360854846785,68.36668363639566,78.97176612903225,0.0,-5529.25875403668,910,174.3372929579341,1,17538.33167156817,78.97060932153843,1,7944.443297746766
u2,106.00000000000018,1,0,0,0,1,100.38827301010144,0,0,0,78.97176612903225,0.0,0,910,105.00000000000018,1,10563.000000000018,106.00000000000018,1,10663.600000000019
u3,406.0000000000003,3,0,0,0,84,11346.37842625549,0,0,0,78.97176612903225,0.0,0,7300,322.0000000000003,2,43934.40000000005,406.0000000000003,3,60887.40000000008
u4,149.81859803132699,1,246.20091582876285,-223,96.38231779743586,0,0,-140,-21417.85064594815,106.20091582876285,78.97176612903225,-7611.481860073167,-8556.88731368424,910,149.81859803132699,1,15071.750961951493,0,1,0.0
u5,578.9999999999998,3,0,0,0,178,29113.886139671988,0,0,0,78.97176612903225,0.0,0,7300,400.9999999999998,3,59447.899999999936,578.9999999999998,3,110694.09999999993
u6,493.00000000000017,3,0,0,0,128,20276.87408205839,0,0,0,78.97176612903225,0.0,0,7300,365.00000000000017,2,52328.00000000003,493.00000000000017,3,85934.70000000004
u7,30.187102328004375,1,229.21649300646584,-200,199.02939067846145,0,0,-119,-20479.820652977585,110.21649300646585,78.97176612903225,-15717.702493463248,-8853.713470707105,910,30.187102328004375,1,3036.82249419724,0,1,0.0
u8,229.13796564554363,2,186.52028344297952,-167,0,0,0,-87,-11958.811806375565,99.52028344297955,78.97176612903225,0.0,-8036.238307413173,1600,229.13796564554363,2,25807.730894010117,42.61768220256411,1,4287.33882957795
u9,153.99999999999974,1,0,0,0,24,2314.5496676728067,0,0,0,78.97176612903225,0.0,0,910,129.99999999999974,1,13077.999999999973,153.99999999999974,1,15492.399999999974
u10,146.98698692879972,1,106.01637760726132,-88,0,0,0,-42,-5676.877796708959,64.0163776072613,78.97176612903225,0.0,-5159.545530956392,910,146.98698692879972,1,14786.890885037252,40.970609321538404,1,4121.643297746763
