,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,75.47271472765584,1,150.5021054061172,-116,75.02939067846137,0,0,-86,-12576.452988773935,64.50210540611727,83.73052150537633,-6282.250009738192,-5467.769095714242,910,75.47271472765584,1,7592.555101602177,0,1,0.0
u2,328.99999999999983,2,0,0,0,124,17431.066895568296,0,0,0,83.73052150537633,0.0,0,1600,204.99999999999983,2,21095.999999999967,328.99999999999983,2,45300.79999999997
u3,483.9999999999988,3,0,0,0,225,34440.64490495075,0,0,0,83.73052150537633,0.0,0,7300,258.9999999999988,2,31636.799999999766,483.9999999999988,3,83343.59999999966
u4,83.43872107539416,1,330.8210388728302,-298,247.38231779743603,0,0,-223,-33462.99089918747,107.82103887283006,83.73052150537633,-20713.45048038806,-9137.163673888652,910,83.43872107539416,1,8393.935340184651,0,1,0.0
u5,234.99999999999983,2,0,0,0,59,7408.708331801327,0,0,0,83.73052150537633,0.0,0,1600,175.99999999999983,1,17705.59999999998,234.99999999999983,2,26951.999999999967
u6,151.00000000000014,1,0,0,0,27,2634.1552030098937,0,0,0,83.73052150537633,0.0,0,910,124.00000000000014,1,12474.400000000014,151.00000000000014,1,15190.600000000013
u7,132.8920565853103,1,76.92144726377207,-52,0,0,0,-32,-4575.147923893157,44.92144726377205,83.73052150537633,0.0,-3813.741271226966,910,132.8920565853103,1,13368.940892482216,55.97060932153825,1,5630.6432977467475
u8,118.90873251821924,1,270.29105031565496,-237,151.38231779743572,0,0,-183,-26736.209221015342,87.291050315655,83.73052150537633,-12675.320415871905,-7402.4343284579245,910,118.90873251821924,1,11962.218491332855,0,1,0.0
u9,494.99999999999955,3,0,0,0,241,36162.35111118905,0,0,0,83.73052150537633,0.0,0,7300,253.99999999999955,2,30660.79999999991,494.99999999999955,3,86510.49999999987
u10,34.71329961716149,1,220.74269029562285,-192,186.02939067846137,0,0,-152,-22910.465310932632,68.74269029562288,83.73052150537633,-15576.337896834964,-5824.946654168887,910,34.71329961716149,1,3492.1579414864455,0,1,0.0
