,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,309.8078376010715,2,42.83722827953303,-31,0,3,480.3541556372147,-15,-1623.132363305307,27.837228279533022,78.94106272401434,0.0,-2301.9874748833276,1600,306.8078376010715,2,31508.88989972916,266.9706093215385,1,26857.243297746772
u2,526.0,3,0,0,0,118,18409.81669285974,0,0,0,78.94106272401434,0.0,0,7300,408.0,2,51261.6,526.0,3,81340.4
u3,310.99999999999983,2,0,0,0,42,4410.413531243055,0,0,0,78.94106272401434,0.0,0,1600,268.99999999999983,1,27061.39999999998,310.99999999999983,2,32327.199999999968
u4,93.54210741271939,1,298.92442521015505,-271,205.38231779743566,0,0,-115,-16984.577775930597,183.92442521015502,78.94106272401434,-16213.098431650817,-15191.701883484475,910,93.54210741271939,1,9410.33600571957,0,1,0.0
u5,230.00000000000026,1,0,0,0,19,1830.8520520587824,0,0,0,78.94106272401434,0.0,0,910,211.00000000000026,1,21226.600000000024,230.00000000000026,1,23138.000000000025
u6,155.00000000000003,1,0,0,0,17,1648.3505143657444,0,0,0,78.94106272401434,0.0,0,910,138.00000000000003,1,13882.800000000003,155.00000000000003,1,15593.000000000002
u7,194.41229248222476,1,72.44168316068624,-57,0,0,0,-30,-3830.5054560606027,42.44168316068624,78.94106272401434,0.0,-3526.7715110033423,910,194.41229248222476,1,19557.87662371181,121.97060932153852,1,12270.243297746774
u8,270.7135601150504,1,146.09587791248597,-128,0,0,0,-61,-7989.670274568074,85.09587791248596,78.94106272401434,0.0,-7056.953608834861,910,270.7135601150504,1,27233.78414757407,124.61768220256445,1,12536.538829577983
u9,308.99999999999994,2,0,0,0,41,4426.201545055648,0,0,0,78.94106272401434,0.0,0,1600,267.99999999999994,1,26960.799999999992,308.99999999999994,2,31936.79999999999
u10,260.8026414134751,1,52.83203209193714,-39,0,0,0,-19,-2217.320644396642,33.83203209193714,78.94106272401434,0.0,-2786.126964769138,910,260.8026414134751,1,26236.745726195593,207.97060932153795,1,20921.843297746716
