,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,92.64583556869205,1,150.67522624715352,-124,58.02939067846147,0,0,-51,-7442.869333970166,99.67522624715357,87.16235573476703,-5057.9783933878325,-8841.43062221627,910,92.64583556869205,1,9320.171058210419,0,1,0.0
u2,202.0000000000002,2,0,0,0,29,2983.2099958752565,0,0,0,87.16235573476703,0.0,0,1600,173.0000000000002,1,17403.800000000017,202.0000000000002,2,20510.400000000038
u3,548.0000000000005,3,0,0,0,198,29941.90446846276,0,0,0,87.16235573476703,0.0,0,7300,350.00000000000045,2,49400.00000000009,548.0000000000005,3,101769.20000000013
u4,160.98335438167794,1,234.3656721791138,-210,73.38231779743586,0,0,-99,-13306.554098467848,135.36567217911374,87.16235573476703,-6396.17568850183,-11932.084566512853,910,160.98335438167794,1,16194.9254507968,0,1,0.0
u5,298.9999999999998,2,0,0,0,75,9873.85571208767,0,0,0,87.16235573476703,0.0,0,1600,223.99999999999977,2,24804.799999999956,298.9999999999998,2,39444.79999999996
u6,261.9999999999998,2,0,0,0,67,9036.916685714126,0,0,0,87.16235573476703,0.0,0,1600,194.99999999999977,1,19616.999999999975,261.9999999999998,2,32222.399999999954
u7,35.57016945804583,1,219.59956013650722,-191,184.0293906784614,0,0,-95,-14492.789841285809,124.59956013650726,87.16235573476703,-16040.435215968473,-10983.337814313178,910,35.57016945804583,1,3578.3590474794105,0,1,0.0
u8,161.20538016970468,1,239.58769796714117,-212,78.38231779743649,0,0,-89,-12102.6374095908,150.5876979671411,87.16235573476703,-6831.98746717572,-13319.95445869958,910,161.20538016970468,1,16217.26124507229,0,1,0.0
u9,56.000000000000014,1,0,0,0,0,0,0,0,0,87.16235573476703,0.0,0,910,56.000000000000014,1,5633.600000000001,56.000000000000014,1,5633.600000000001
u10,105.52246795132334,1,137.55185862978473,-112,32.0293906784614,0,0,-35,-4958.385424372738,102.55185862978473,87.16235573476703,-2791.7571442838835,-9043.046819835683,910,105.52246795132334,1,10615.560275903126,0,1,0.0
