,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,191.10432040499046,1,80.56311703573634,-65,0,0,0,-19,-2480.0526281908615,61.56311703573634,77.59372777777779,0.0,-4968.4444797189735,910,191.10432040499046,1,19225.09463274204,110.54120336925412,1,11120.445058946963
u2,395.00000000000006,2,0,0,0,99,13105.38348352692,0,0,0,77.59372777777779,0.0,0,1600,296.00000000000006,2,38859.20000000001,395.00000000000006,2,58184.00000000001
u3,315.99999999999994,2,0,0,0,78,10444.33342357102,0,0,0,77.59372777777779,0.0,0,1600,237.99999999999994,2,27537.599999999988,315.99999999999994,2,42763.19999999998
u4,64.09792897662187,1,345.5292566945309,-313,281.431327717909,0,0,-196,-29827.837441326206,149.5292566945309,77.59372777777779,-21837.305831082,-12057.350045215926,910,64.09792897662187,1,6448.25165504816,0,1,0.0
u5,86.00000000000001,1,0,0,0,0,0,0,0,0,77.59372777777779,0.0,0,910,86.00000000000001,1,8651.6,86.00000000000001,1,8651.6
u6,145.0,1,0,0,0,26,2484.3205657505005,0,0,0,77.59372777777779,0.0,0,910,119.0,1,11971.4,145.0,1,14587.0
u7,276.2111617233414,2,49.6699583540874,-36,0,7,1205.6015111454174,-17,-1966.6997599965064,32.6699583540874,77.59372777777779,0.0,-2638.105781578004,1600,269.2111617233414,2,33630.018768396236,226.541203369254,2,25300.84289767838
u8,159.879177642661,1,221.31050536056986,-196,61.43132771790886,0,0,-109,-14783.404590725582,112.31050536056985,77.59372777777779,-4766.685719970875,-9086.779047614791,910,159.879177642661,1,16083.845270851696,0,1,0.0
u9,599.0000000000006,3,0,0,0,235,37816.04209492455,0,0,0,77.59372777777779,0.0,0,7300,364.00000000000057,2,52132.800000000105,599.0000000000006,3,116452.10000000015
u10,33.459558103832165,1,214.9183547345777,-185,181.45879663074552,0,0,-104,-16254.780525002414,110.91835473457766,77.59372777777779,-14080.064468649209,-8955.039350828858,910,33.459558103832165,1,3366.0315452455156,0,1,0.0
