,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,273.6540886982674,2,59.11288532901253,-45,0,9,1635.3750057519508,-15,-1999.6033158927119,44.11288532901253,98.76765740740741,0.0,-4338.369710492759,1600,264.6540886982674,2,32740.478113901794,214.54120336925487,2,22958.44289767855
u2,458.0000000000001,3,0,0,0,156,25382.812686777583,0,0,0,98.76765740740741,0.0,0,7300,302.0000000000001,2,40030.40000000002,458.0000000000001,3,75858.20000000003
u3,440.0000000000002,3,0,0,0,132,21306.972629979464,0,0,0,98.76765740740741,0.0,0,7300,308.0000000000002,2,41201.60000000004,440.0000000000002,3,70676.00000000006
u4,27.844699092559733,1,407.27602681046886,-371,379.43132771790914,0,0,-230,-37649.6998568333,177.2760268104688,98.76765740740741,-37475.543385680176,-17622.39841095183,910,27.844699092559733,1,2801.176728711509,0,1,0.0
u5,207.00000000000006,2,0,0,0,14,1762.698050311683,0,0,0,98.76765740740741,0.0,0,1600,193.00000000000006,1,19415.800000000003,207.00000000000006,2,21486.400000000012
u6,395.9999999999995,2,0,0,0,99,14469.278898932253,0,0,0,98.76765740740741,0.0,0,1600,296.9999999999995,2,39054.3999999999,395.9999999999995,2,58379.199999999895
u7,260.0574097943358,2,58.5162064250814,-44,0,10,1835.7831828320327,-14,-2025.0351017750618,44.51620642508139,98.76765740740741,0.0,-4404.452461787631,1600,250.0574097943358,2,29891.206391854346,201.5412033692544,2,20420.842897678456
u8,155.62464964684708,1,231.05597736475593,-208,75.43132771790886,0,0,-112,-16791.298144567572,119.05597736475599,98.76765740740741,-7450.1755338282965,-11810.180635263134,910,155.62464964684708,1,15655.839754472814,0,1,0.0
u9,255.99999999999983,2,0,0,0,58,8548.550917540004,0,0,0,98.76765740740741,0.0,0,1600,197.99999999999983,1,19918.79999999998,255.99999999999983,2,31051.199999999968
u10,39.74985103370009,1,209.20864766444558,-178,169.4587966307455,0,0,-107,-17038.350567463236,102.20864766444564,98.76765740740741,-16737.048370296998,-10156.561972249883,910,39.74985103370009,1,3998.8350139902286,0,1,0.0
